Iterations,fitness,chromosome
3480,0.0024999999999998934,[-9.97, -9.96]
3490,0.0024999999999998934,[-9.97, -9.96]
3500,0.0024999999999998934,[-9.97, -9.96]
3510,0.0024999999999998934,[-9.97, -9.96]
3520,0.0024999999999998934,[-9.97, -9.96]
3530,0.0024999999999998934,[-9.97, -9.96]
3540,0.0024999999999998934,[-9.97, -9.96]
3550,0.0024999999999998934,[-9.97, -9.96]
3560,0.0024999999999998934,[-9.97, -9.96]
3570,0.0024999999999998934,[-9.97, -9.96]
3580,0.0024999999999998934,[-9.97, -9.96]
3590,0.0024999999999998934,[-9.97, -9.96]
3600,0.0024999999999998934,[-9.97, -9.96]
3610,0.0024999999999998934,[-9.97, -9.96]
3620,0.0024999999999998934,[-9.97, -9.96]
3630,0.0024999999999998934,[-9.97, -9.96]
3640,0.0024999999999998934,[-9.97, -9.96]
3650,0.0024999999999998934,[-9.97, -9.96]
3660,0.0024999999999998934,[-9.97, -9.96]
3670,0.0024999999999998934,[-9.97, -9.96]
3680,0.0024999999999998934,[-9.97, -9.96]
3690,0.0024999999999998934,[-9.97, -9.96]
3700,0.0024999999999998934,[-9.97, -9.96]
3710,0.0024999999999998934,[-9.97, -9.96]
3720,0.0024999999999998934,[-9.97, -9.96]
3730,0.0024999999999998934,[-9.97, -9.96]
3740,0.0024999999999998934,[-9.97, -9.96]
3750,0.0024999999999998934,[-9.97, -9.96]
3760,0.0024999999999998934,[-9.97, -9.96]
3770,0.0024999999999998934,[-9.97, -9.96]
3780,0.0024999999999998934,[-9.97, -9.96]
3790,0.0024999999999998934,[-9.97, -9.96]
3800,0.0024999999999998934,[-9.97, -9.96]
3810,0.0024999999999998934,[-9.97, -9.96]
3820,0.0024999999999998934,[-9.97, -9.96]
3830,0.0024999999999998934,[-9.97, -9.96]
3840,0.0024999999999998934,[-9.97, -9.96]
3850,0.0024999999999998934,[-9.97, -9.96]
3860,0.0024999999999998934,[-9.97, -9.96]
3870,0.0024999999999998934,[-9.97, -9.96]
3880,0.0024999999999998934,[-9.97, -9.96]
3890,0.0024999999999998934,[-9.97, -9.96]
3900,0.0024999999999998934,[-9.97, -9.96]
3910,0.0024999999999998934,[-9.97, -9.96]
3920,0.0024999999999998934,[-9.97, -9.96]
3930,0.0024999999999998934,[-9.97, -9.96]
3940,0.0024999999999998934,[-9.97, -9.96]
3950,0.0024999999999998934,[-9.97, -9.96]
3960,0.0024999999999998934,[-9.97, -9.96]
3970,0.0024999999999998934,[-9.97, -9.96]
3980,0.0024999999999998934,[-9.97, -9.96]
3990,0.0024999999999998934,[-9.97, -9.96]
4000,0.0024999999999998934,[-9.97, -9.96]
4010,0.0024999999999998934,[-9.97, -9.96]
4020,0.0024999999999998934,[-9.97, -9.96]
4030,0.0024999999999998934,[-9.97, -9.96]
4040,0.0024999999999998934,[-9.97, -9.96]
4050,0.0024999999999998934,[-9.97, -9.96]
4060,0.0024999999999998934,[-9.97, -9.96]
4070,0.0024999999999998934,[-9.97, -9.96]
4080,0.0024999999999998934,[-9.97, -9.96]
4090,0.0024999999999998934,[-9.97, -9.96]
4100,0.0024999999999998934,[-9.97, -9.96]
4110,0.0024999999999998934,[-9.97, -9.96]
4120,0.0024999999999998934,[-9.97, -9.96]
4130,0.0024999999999998934,[-9.97, -9.96]
4140,0.0024999999999998934,[-9.97, -9.96]
4150,0.0024999999999998934,[-9.97, -9.96]
4160,0.0024999999999998934,[-9.97, -9.96]
4170,0.0024999999999998934,[-9.97, -9.96]
4180,0.0024999999999998934,[-9.97, -9.96]
4190,0.0024999999999998934,[-9.97, -9.96]
4200,0.0024999999999998934,[-9.97, -9.96]
4210,0.0024999999999998934,[-9.97, -9.96]
4220,0.0024999999999998934,[-9.97, -9.96]
4230,0.0024999999999998934,[-9.97, -9.96]
4240,0.0024999999999998934,[-9.97, -9.96]
4250,0.0024999999999998934,[-9.97, -9.96]
4260,0.0024999999999998934,[-9.97, -9.96]
4270,0.0024999999999998934,[-9.97, -9.96]
4280,0.0024999999999998934,[-9.97, -9.96]
4290,0.0024999999999998934,[-9.97, -9.96]
4300,0.0024999999999998934,[-9.97, -9.96]
4310,0.0024999999999998934,[-9.97, -9.96]
4320,0.0024999999999998934,[-9.97, -9.96]
4330,0.0024999999999998934,[-9.97, -9.96]
4340,0.0024999999999998934,[-9.97, -9.96]
4350,0.0024999999999998934,[-9.97, -9.96]
4360,0.0024999999999998934,[-9.97, -9.96]
4370,0.0024999999999998934,[-9.97, -9.96]
4380,0.0024999999999998934,[-9.97, -9.96]
4390,0.0024999999999998934,[-9.97, -9.96]
4400,0.0024999999999998934,[-9.97, -9.96]
4410,0.0024999999999998934,[-9.97, -9.96]
4420,0.0024999999999998934,[-9.97, -9.96]
4430,0.0024999999999998934,[-9.97, -9.96]
4440,0.0024999999999998934,[-9.97, -9.96]
4450,0.0024999999999998934,[-9.97, -9.96]
4460,0.0024999999999998934,[-9.97, -9.96]
4470,0.0024999999999998934,[-9.97, -9.96]
4480,0.0024999999999998934,[-9.97, -9.96]
4490,0.0024999999999998934,[-9.97, -9.96]
4500,0.0024999999999998934,[-9.97, -9.96]
4510,0.0024999999999998934,[-9.97, -9.96]
4520,0.0024999999999998934,[-9.97, -9.96]
4530,0.0024999999999998934,[-9.97, -9.96]
4540,0.0024999999999998934,[-9.97, -9.96]
4550,0.0024999999999998934,[-9.97, -9.96]
4560,0.0015999999999999318,[-10.0, -9.96]
4570,0.0015999999999999318,[-10.0, -9.96]
4580,0.0015999999999999318,[-10.0, -9.96]
4590,0.0015999999999999318,[-10.0, -9.96]
4600,0.0015999999999999318,[-10.0, -9.96]
4610,0.0015999999999999318,[-10.0, -9.96]
4620,0.0015999999999999318,[-10.0, -9.96]
4630,0.0015999999999999318,[-10.0, -9.96]
4640,0.0015999999999999318,[-10.0, -9.96]
4650,0.0015999999999999318,[-10.0, -9.96]
4660,0.0015999999999999318,[-10.0, -9.96]
4670,0.0015999999999999318,[-10.0, -9.96]
4680,0.0015999999999999318,[-10.0, -9.96]
4690,0.0015999999999999318,[-10.0, -9.96]
4700,0.0015999999999999318,[-10.0, -9.96]
4710,0.0015999999999999318,[-10.0, -9.96]
4720,0.0015999999999999318,[-10.0, -9.96]
4730,0.0015999999999999318,[-10.0, -9.96]
4740,0.0015999999999999318,[-10.0, -9.96]
4750,0.0015999999999999318,[-10.0, -9.96]
4760,0.0015999999999999318,[-10.0, -9.96]
4770,0.0015999999999999318,[-10.0, -9.96]
4780,0.0015999999999999318,[-10.0, -9.96]
4790,0.0015999999999999318,[-10.0, -9.96]
4800,0.0015999999999999318,[-10.0, -9.96]
4810,0.0015999999999999318,[-10.0, -9.96]
4820,0.0015999999999999318,[-10.0, -9.96]
4830,0.0015999999999999318,[-10.0, -9.96]
4840,0.0015999999999999318,[-10.0, -9.96]
4850,0.0015999999999999318,[-10.0, -9.96]
4860,0.0015999999999999318,[-10.0, -9.96]
4870,0.0015999999999999318,[-10.0, -9.96]
4880,0.0015999999999999318,[-10.0, -9.96]
4890,0.0015999999999999318,[-10.0, -9.96]
4900,0.0015999999999999318,[-10.0, -9.96]
4910,0.0015999999999999318,[-10.0, -9.96]
4920,0.0015999999999999318,[-10.0, -9.96]
4930,0.0015999999999999318,[-10.0, -9.96]
4940,0.0015999999999999318,[-10.0, -9.96]
4950,0.0015999999999999318,[-10.0, -9.96]
4960,0.0015999999999999318,[-10.0, -9.96]
4970,0.0015999999999999318,[-10.0, -9.96]
4980,0.0015999999999999318,[-10.0, -9.96]
4990,0.0015999999999999318,[-10.0, -9.96]
5000,0.0015999999999999318,[-10.0, -9.96]
5010,0.0015999999999999318,[-10.0, -9.96]
5020,0.0015999999999999318,[-10.0, -9.96]
5030,0.0015999999999999318,[-10.0, -9.96]
5040,0.0015999999999999318,[-10.0, -9.96]
5050,0.0015999999999999318,[-10.0, -9.96]
5060,0.0015999999999999318,[-10.0, -9.96]
5070,0.0015999999999999318,[-10.0, -9.96]
5080,0.0015999999999999318,[-10.0, -9.96]
5090,0.0015999999999999318,[-10.0, -9.96]
5100,0.0015999999999999318,[-10.0, -9.96]
5110,0.0015999999999999318,[-10.0, -9.96]
5120,0.0015999999999999318,[-10.0, -9.96]
5130,0.0015999999999999318,[-10.0, -9.96]
5140,0.0015999999999999318,[-10.0, -9.96]
5150,0.0015999999999999318,[-10.0, -9.96]
5160,0.0015999999999999318,[-10.0, -9.96]
5170,0.0015999999999999318,[-10.0, -9.96]
5180,0.0015999999999999318,[-10.0, -9.96]
5190,0.0015999999999999318,[-10.0, -9.96]
5200,0.0015999999999999318,[-10.0, -9.96]
5210,0.0015999999999999318,[-10.0, -9.96]
5220,0.0015999999999999318,[-10.0, -9.96]
5230,0.0015999999999999318,[-10.0, -9.96]
5240,0.0015999999999999318,[-10.0, -9.96]
5250,0.0015999999999999318,[-10.0, -9.96]
5260,0.0015999999999999318,[-10.0, -9.96]
5270,0.0015999999999999318,[-10.0, -9.96]
5280,0.0015999999999999318,[-10.0, -9.96]
5290,0.0015999999999999318,[-10.0, -9.96]
5300,0.0015999999999999318,[-10.0, -9.96]
5310,0.0015999999999999318,[-10.0, -9.96]
5320,0.0015999999999999318,[-10.0, -9.96]
5330,0.0015999999999999318,[-10.0, -9.96]
5340,0.0015999999999999318,[-10.0, -9.96]
5350,0.0015999999999999318,[-10.0, -9.96]
5360,0.0015999999999999318,[-10.0, -9.96]
5370,0.0015999999999999318,[-10.0, -9.96]
5380,0.0015999999999999318,[-10.0, -9.96]
5390,0.0015999999999999318,[-10.0, -9.96]
5400,0.0015999999999999318,[-10.0, -9.96]
5410,0.0015999999999999318,[-10.0, -9.96]
5420,0.0015999999999999318,[-10.0, -9.96]
5430,0.0015999999999999318,[-10.0, -9.96]
5440,0.0015999999999999318,[-10.0, -9.96]
5450,0.0015999999999999318,[-10.0, -9.96]
5460,0.0015999999999999318,[-10.0, -9.96]
5470,0.0015999999999999318,[-10.0, -9.96]
5480,0.0015999999999999318,[-10.0, -9.96]
5490,0.0015999999999999318,[-10.0, -9.96]
5500,0.0015999999999999318,[-10.0, -9.96]
5510,0.0015999999999999318,[-10.0, -9.96]
5520,0.0015999999999999318,[-10.0, -9.96]
5530,0.0015999999999999318,[-10.0, -9.96]
5540,0.0015999999999999318,[-10.0, -9.96]
5550,0.0015999999999999318,[-10.0, -9.96]
5560,0.0015999999999999318,[-10.0, -9.96]
5570,0.0015999999999999318,[-10.0, -9.96]
5580,0.0015999999999999318,[-10.0, -9.96]
5590,0.0015999999999999318,[-10.0, -9.96]
5600,0.0015999999999999318,[-10.0, -9.96]
5610,0.0015999999999999318,[-10.0, -9.96]
5620,0.0015999999999999318,[-10.0, -9.96]
